Recoding_name,Speaker_id,Beginning,Ending,Transcript ,Category,Note,,
2009-Khiv-2.eaf,Interviewer,6738,7600,Угу…,,,,
2009-Khiv-2.eaf,Interviewer,7913,8383,Поэ=,,,,
2009-Khiv-2.eaf,Interviewer,8748,10941,"поэтому русский так хорошо знаете, да?",,,,
2009-Khiv-2.eaf,Interviewer,15770,17702,В школе на русском языке учился?,,,,
2009-Khiv-2.eaf,Interviewer,21043,21513,Да?,,,,
2009-Khiv-2.eaf,Interviewer,22087,23758,Это в каком году же школа?,,,,
2009-Khiv-2.eaf,Interviewer,28169,28587,Да?,,,,
2009-Khiv-2.eaf,Interviewer,34120,34798,Да?,,,,
2009-Khiv-2.eaf,Interviewer,37461,39658,"Вот здесь, на азербайджанском преподавали?",,,,
2009-Khiv-2.eaf,Interviewer,42682,44352,"Это школа прямо была, да?",,,,
2009-Khiv-2.eaf,Interviewer,46937,48555,"Десять лет, значит тридцатый.",,,,
2009-Khiv-2.eaf,Interviewer,51403,53804,"Нет, подождите-ка, вы двадцатого года рождения?",,,,
2009-Khiv-2.eaf,Interviewer,54640,56493,"Значит, это уже вам было шестнадцать.",,,,
2009-Khiv-2.eaf,Interviewer,57485,59338,Шестнадцать лет вы пошли в школу.,,,,
2009-Khiv-2.eaf,Interviewer,64063,64559,Ага.,,,,
2009-Khiv-2.eaf,Interviewer,78854,79663,Ага.,,,,
2009-Khiv-2.eaf,Interviewer,82523,83371,Угу…,,,,
2009-Khiv-2.eaf,Interviewer,84820,86104,Что-то не пойму я.,,,,
2009-Khiv-2.eaf,Interviewer,86360,88995,"Школа ведь здесь открылась в тридцать шестом, да?..",,,,
2009-Khiv-2.eaf,Interviewer,89467,90116,Или нет?,,,,
2009-Khiv-2.eaf,Interviewer,98316,99158,"А, вот так.",,,,
2009-Khiv-2.eaf,Interviewer,99497,100040,Угу…,,,,
2009-Khiv-2.eaf,Interviewer,101063,101846,Угу.,,,,
2009-Khiv-2.eaf,Interviewer,129501,134514,"А вот про школу расскажите пожалуйста, какая здесь была школа. Кто учил, чему учили?",,,,
2009-Khiv-2.eaf,Interviewer,147802,148836,"Он отсюда, да?",,,,
2009-Khiv-2.eaf,Interviewer,150652,151200,Аа {а*}.,,,,
2009-Khiv-2.eaf,Interviewer,153079,153746,Аа {а*}.,,,,
2009-Khiv-2.eaf,Interviewer,175383,177662,"Вы с ним были знакомы, да? получается.",,,,
2009-Khiv-2.eaf,Interviewer,180262,181634,Он в школе преподавал?,,,,
2009-Khiv-2.eaf,Interviewer,183656,184249,Угу.,,,,
2009-Khiv-2.eaf,Interviewer,194296,194806,Да?,,,,
2009-Khiv-2.eaf,Interviewer,210696,211367,А.,,,,
2009-Khiv-2.eaf,Interviewer,214115,216830,"Здесь до седьмого класса, или как?",,,,
2009-Khiv-2.eaf,Interviewer,217654,219065,Начальная тут была?,,,,
2009-Khiv-2.eaf,Interviewer,224493,225041,Да…,,,,
2009-Khiv-2.eaf,Interviewer,226111,226839,А потом?,,,,
2009-Khiv-2.eaf,Interviewer,232376,233148,Цыниц?,,,,
2009-Khiv-2.eaf,Interviewer,234138,234917,Тыниц.,,,,
2009-Khiv-2.eaf,Interviewer,235498,236734,"Тыниц, ага.",,,,
2009-Khiv-2.eaf,Interviewer,245716,246490,О.,,,,
2009-Khiv-2.eaf,Interviewer,249565,250316,О.,,,,
2009-Khiv-2.eaf,Interviewer,264378,265195,Угу.,,,,
2009-Khiv-2.eaf,Interviewer,266597,267369,На русском.,,,,
2009-Khiv-2.eaf,Interviewer,269286,272210,"Сейчас… А Тыниц, там вы в интернате жили, да?",,,,
2009-Khiv-2.eaf,Interviewer,272497,273828,В селении Тыниц.,,,,
2009-Khiv-2.eaf,Interviewer,281254,285241,"А когда здесь уже полная школа появилась, не только начальная?",,,,
2009-Khiv-2.eaf,Interviewer,290756,292270,"Полная, да? уже.",,,,
2009-Khiv-2.eaf,Interviewer,292974,295714,"А когда же она открылась-то, в каком году, не помните?",,,,
2009-Khiv-2.eaf,Interviewer,297843,299005,Четырнадцатом?!,,,,
2009-Khiv-2.eaf,Interviewer,304116,304481,Да?,,,,
2009-Khiv-2.eaf,Interviewer,305787,309396,"Это наверно была религиозная школа, да? В четырнадцатом году. Нет?",,,,
2009-Khiv-2.eaf,Interviewer,311263,312003,"Нет, да?",,,,
2009-Khiv-2.eaf,Interviewer,322727,323264,Да?,,,,
2009-Khiv-2.eaf,Interviewer,329279,332069,А на азербайджанском языке что преподавали?,,,,
2009-Khiv-2.eaf,Interviewer,335886,337241,Все предметы?,,,,
2009-Khiv-2.eaf,Interviewer,338563,341966,"То есть можно было выбрать что ли на каком языке учиться, или как?",,,,
2009-Khiv-2.eaf,Interviewer,343456,344272,Не было?,,,,
2009-Khiv-2.eaf,Interviewer,348874,351922,Ну вот смотрите. Вот вы пошли в школу. Вам было семь лет?,,,,
2009-Khiv-2.eaf,Interviewer,355243,359978,Больше семи лет… Вы в этот момент знали какой язык? Когда пошёл в школу.,,,,
2009-Khiv-2.eaf,Interviewer,361377,363092,Только свой табасаранский…,,,,
2009-Khiv-2.eaf,Interviewer,363492,365802,И вот пришёл в школу и на каком…,,,,
2009-Khiv-2.eaf,Interviewer,372173,372590,Да?,,,,
2009-Khiv-2.eaf,Interviewer,373034,375447,А это кто преподавал на азербайджанском?,,,,
2009-Khiv-2.eaf,Interviewer,378229,379882,То есть он был местный человек...,,,,
2009-Khiv-2.eaf,Interviewer,380030,381342,табасаранец…,,,,
2009-Khiv-2.eaf,Interviewer,390813,393174,И вас учил на азербайджанском?,,,,
2009-Khiv-2.eaf,Interviewer,394076,395629,Например математике.,,,,
